Object Number,Is Highlight,Is Public Domain,Object ID,Department,Object Name,Title,Culture,Period,Dynasty,Reign,Portfolio,Artist Role,Artist Prefix,Artist Display Name,Artist Display Bio,Artist Suffix,Artist Alpha Sort,Artist Nationality,Artist Begin Date,Artist End Date,Object Date,Object Begin Date,Object End Date,Medium,Dimensions,Credit Line,Geography Type,City,State,County,Country,Region,Subregion,Locale,Locus,Excavation,River,Classification,Rights and Reproduction,Link Resource,Metadata Date,Repository,Tags
46.67.98,FALSE,TRUE,260,The American Wing,Armchair,Armchair,American,,,,,,,,,,,,,,1795–1810,1795,1810,"Mahogany, ash, cherry",36 3/4 x 23 x 18 in. (93.3 x 58.4 x 45.7 cm),"Gift of the Members of the Committee of the Bertha King Benkard Memorial Fund, 1946",Made in,New York,,,United States,,,,,,,Furniture,,http://www.metmuseum.org/art/collection/search/260,2019-07-26T03:00:41.71Z,"Metropolitan Museum of Art, New York, NY",
57.130.2,FALSE,TRUE,261,The American Wing,Armchair,Armchair,American,,,,,,,,,,,,,,1850–60,1850,1860,"Rosewood, ash",50 x 26 1/2 x 23 in. (127 x 67.3 x 58.4 cm),"Gift of Mrs. Charles Reginald Leonard, in memory of Edgar Welch  Leonard, Robert Jarvis Leonard, and Charles Reginald Leonard, 1957",Made in,New York,,,United States,,,,,,,Furniture,,http://www.metmuseum.org/art/collection/search/261,2019-07-26T03:00:41.71Z,"Metropolitan Museum of Art, New York, NY",
57.130.3,FALSE,FALSE,262,The American Wing,Armchair,Armchair,American,,,,,,,,,,,,,,1850–60,1850,1860,"Rosewood, ash",49 1/2 x 26 1/2 x 22 1/2 in. (125.7 x 67.3 x 57.2 cm),"Gift of Mrs. Charles Reginald Leonard, in memory of Edgar Welch  Leonard, Robert Jarvis Leonard, and Charles Reginald Leonard, 1957",Made in,New York,,,United States,,,,,,,Furniture,,http://www.metmuseum.org/art/collection/search/262,,"Metropolitan Museum of Art, New York, NY",
1971.17.1,FALSE,TRUE,263,The American Wing,Armchair,Square-back armchair,American,,,,,,,,,,,,,,1800–1810,1800,1810,"Mahogany, cane",33 3/4 x 21 1/8 x 21 in. (85.7 x 53.7 x 53.3 cm),"Purchase, Mrs. Russell Sage Gift, 1971",Made in,Philadelphia,,,United States,,,,,,,Furniture,,http://www.metmuseum.org/art/collection/search/263,2020-02-01T04:41:26.73Z,"Metropolitan Museum of Art, New York, NY",
1971.17.2,FALSE,TRUE,264,The American Wing,Armchair,Square-back armchair,American,,,,,,,,,,,,,,1800–1810,1800,1810,Mahogany and cane,33 3/4 x 21 1/8 x 21 3/8 in. (85.7 x 53.7 x 54.3 cm),"Purchase, Mrs. Russell Sage Gift, 1970",Made in,Philadelphia,,,United States,,,,,,,Furniture,,http://www.metmuseum.org/art/collection/search/264,2020-02-17T04:45:42.317Z,"Metropolitan Museum of Art, New York, NY",
69.262.3,FALSE,TRUE,265,The American Wing,Armchair,Armchair,American or French,,,,,Maker,,Auguste-Emile Rinquet-Leprince,1801–1886,,"Ringuet-Leprince, Auguste-Emile",French,1801,1886,ca. 1843,1838,1848,"Applewood or pearwood, ebonized walnut, beech, and gilt bronze mounts",38 1/2 x 23 1/4 x 26 1/8 in. (97.8 x 59.1 x 66.4 cm),"Gift of Mrs. Douglas Williams, 1969",Possibly made in|Possibly made in,New York|Paris,,,United States|France,,,,,,,Furniture,,http://www.metmuseum.org/art/collection/search/265,2019-11-09T04:43:16.453Z,"Metropolitan Museum of Art, New York, NY",
69.262.4,FALSE,TRUE,266,The American Wing,Armchair,Armchair,American or French,,,,,Maker,,Auguste-Emile Rinquet-Leprince,1801–1886,,"Ringuet-Leprince, Auguste-Emile",French,1801,1886,ca. 1843,1838,1848,"Applewood or pearwood, ebonized walnut, beech",38 1/2 x 23 1/4 x 26 1/8 in. (97.8 x 59.1 x 66.4 cm),"Gift of Mrs. Douglas Williams, 1969",Possibly made in|Possibly made in,New York|Paris,,,United States|France,,,,,,,Furniture,,http://www.metmuseum.org/art/collection/search/266,2019-11-09T04:43:16.453Z,"Metropolitan Museum of Art, New York, NY",
60.4.2,FALSE,TRUE,267,The American Wing,Armchair,Armchair,American,,,,,Maker,Attributed to,Duncan Phyfe,1770–1854,,"Phyfe, Duncan",Scottish,1770,1854,1791–1818,1791,1818,"Primary: mahogany; Secondary: cherry (medial braces), ash or oak (stubb tenon feet).",32 7/8 x 21 1/2 x 24 3/4 in. (83.5 x 54.6 x 62.9 cm),"Gift of C. Ruxton Love Jr., 1960",Made in,New York,,,United States,,,,,,,Furniture,,http://www.metmuseum.org/art/collection/search/267,2019-07-26T03:00:41.71Z,"Metropolitan Museum of Art, New York, NY",
60.4.3,FALSE,TRUE,268,The American Wing,Armchair,Armchair,American,,,,,Maker,Attributed to,Duncan Phyfe,1770–1854,,"Phyfe, Duncan",Scottish,1770,1854,1810–15,1810,1815,"Mahogany, brass",32 3/4 x 20 7/8 x 17 3/4 in. (83.2 x 53 x 45.1 cm),"Gift of C. Ruxton Love Jr., 1960",Made in,New York,,,United States,,,,,,,Furniture,,http://www.metmuseum.org/art/collection/search/268,2019-07-26T03:00:41.71Z,"Metropolitan Museum of Art, New York, NY",
1971.128.1,FALSE,FALSE,269,The American Wing,Armchair,Armchair,American,,,,,Maker,Workshop of,Duncan Phyfe,1770–1854,,"Phyfe, Duncan",Scottish,1770,1854,1830–35,1830,1835,"Mahogany, cherry, ash",38 x 21 1/4 x 25 1/2 in. (96.5 x 54 x 64.8 cm),"Gift of Mrs. Alfred Joltin, in memory of Ida Louise Opdycke, 1971",Made in,New York,,,United States,,,,,,,Furniture,,http://www.metmuseum.org/art/collection/search/269,,"Metropolitan Museum of Art, New York, NY",
1971.128.2,FALSE,TRUE,270,The American Wing,Armchair,Armchair,American,,,,,Maker,Workshop of,Duncan Phyfe,1770–1854,,"Phyfe, Duncan",Scottish,1770,1854,1830–35,1830,1835,"Mahogany, cherry, ash",38 x 21 1/4 x 25 5/16 in. (96.5 x 54 x 64.3 cm),"Gift of Mrs. Alfred Joltin, in memory of Ida Louise Opdycke, 1971",Made in,New York,,,United States,,,,,,,Furniture,,http://www.metmuseum.org/art/collection/search/270,2019-07-26T03:00:41.71Z,"Metropolitan Museum of Art, New York, NY",
1980.326.1,FALSE,FALSE,271,The American Wing,Armchair,Child's Armchair,American,,,,,Maker,,Pottier and Stymus Manufacturing Company,active ca. 1859–1910,,Pottier and Stymus Manufacturing Company ,,1859,1910,1870–75,1870,1875,"Ebonized walnut, gilt",27 x 18 x 15 1/4 in. (68.6 x 45.7 x 38.7 cm),"Gift of Dean K. Boorman, in memory of Mrs. Bashford Dean, 1980",Made in,New York,,,United States,,,,,,,Furniture,,http://www.metmuseum.org/art/collection/search/271,,"Metropolitan Museum of Art, New York, NY",
1980.326.2,FALSE,FALSE,272,The American Wing,Armchair,Child's Armchair,American,,,,,Maker,,Pottier and Stymus Manufacturing Company,active ca. 1859–1910,,Pottier and Stymus Manufacturing Company ,,1859,1910,1870–75,1870,1875,"Ebonized walnut, gilt",27 x 18 x 15 1/4 in. (68.6 x 45.7 x 38.7 cm),"Gift of Dean K. Boorman, in memory of Mrs. Bashford Dean, 1980",Made in,New York,,,United States,,,,,,,Furniture,,http://www.metmuseum.org/art/collection/search/272,,"Metropolitan Museum of Art, New York, NY",
68.214.2,FALSE,FALSE,273,The American Wing,Armchair,Armchair,American,,,,,Maker,,Tobey Furniture Company,1875–1954,,Tobey Furniture Company,American,1875,1954,ca. 1890,1887,1890,Cherry,46 3/8 x 24 3/4 x 25 3/4 in. (117.8 x 62.9 x 65.4 cm),"Gift of Mrs. Frank W. McCabe, 1968",Made in,Chicago,,,United States,,,,,,,Furniture,,http://www.metmuseum.org/art/collection/search/273,2019-07-26T03:00:41.71Z,"Metropolitan Museum of Art, New York, NY",
68.214.3,FALSE,FALSE,274,The American Wing,Armchair,Armchair,American,,,,,Maker,,Tobey Furniture Company,1875–1954,,Tobey Furniture Company,American,1875,1954,ca. 1890,1887,1890,Cherry,46 3/8 x 24 3/4 x 25 3/4 in. (117.8 x 62.9 x 65.4 cm),"Gift of Mrs. Frank W. McCabe, 1968",Made in,Chicago,,,United States,,,,,,,Furniture,,http://www.metmuseum.org/art/collection/search/274,2019-07-26T03:00:41.71Z,"Metropolitan Museum of Art, New York, NY",
1972.60.4,FALSE,FALSE,275,The American Wing,Armchair,Armchair,American,,,,,Maker,,Frank Lloyd Wright,"American, Richland Center, Wisconsin 1867–1959 Phoenix, Arizona",,"Wright, Frank Lloyd",American,1867,1959,ca. 1902–3,1899,1903,"White oak, wool",33 1/4 x 37 x 29 in. (84.5 x 94 x 73.7 cm),"Purchase, Emily Crane Chadbourne Bequest, 1972",Made in,,,,United States,Midwest ,,,,,,Furniture,"© 2020 Artists Rights Society (ARS), New York",http://www.metmuseum.org/art/collection/search/275,2020-01-07T04:42:35.487Z,"Metropolitan Museum of Art, New York, NY",
1972.60.5,FALSE,FALSE,276,The American Wing,Armchair,Armchair,American,,,,,Maker,,Frank Lloyd Wright,"American, Richland Center, Wisconsin 1867–1959 Phoenix, Arizona",,"Wright, Frank Lloyd",American,1867,1959,ca. 1902–3,1899,1903,"White oak, wool",33 1/4 x 37 x 29 in. (84.5 x 94 x 73.7 cm),"Purchase, Emily Crane Chadbourne Bequest, 1972",Made in,,,,United States,Midwest ,,,,,,Furniture,"© 2020 Artists Rights Society (ARS), New York",http://www.metmuseum.org/art/collection/search/276,2020-01-07T04:42:35.487Z,"Metropolitan Museum of Art, New York, NY",
1972.60.6,FALSE,FALSE,277,The American Wing,Armchair,Armchair,American,,,,,Maker,,Frank Lloyd Wright,"American, Richland Center, Wisconsin 1867–1959 Phoenix, Arizona",,"Wright, Frank Lloyd",American,1867,1959,ca. 1902–3,1899,1903,"White oak, wool",33 1/4 x 37 x 29 in. (84.5 x 94 x 73.7 cm),"Purchase, Emily Crane Chadbourne Bequest, 1972",Made in,,,,United States,Midwest ,,,,,,Furniture,"© 2020 Artists Rights Society (ARS), New York",http://www.metmuseum.org/art/collection/search/277,2020-01-07T04:42:35.487Z,"Metropolitan Museum of Art, New York, NY",
1972.60.7,FALSE,FALSE,278,The American Wing,Armchair,Armchair,American,,,,,Maker,,Frank Lloyd Wright,"American, Richland Center, Wisconsin 1867–1959 Phoenix, Arizona",,"Wright, Frank Lloyd",American,1867,1959,ca. 1902–3,1899,1903,"White oak, wool",33 1/4 x 37 x 29 in. (84.5 x 94 x 73.7 cm),"Purchase, Emily Crane Chadbourne Bequest, 1972",Made in,,,,United States,Midwest ,,,,,,Furniture,"© 2020 Artists Rights Society (ARS), New York",http://www.metmuseum.org/art/collection/search/278,2020-01-07T04:42:35.487Z,"Metropolitan Museum of Art, New York, NY",
Inst.X.6.1,FALSE,FALSE,279,The American Wing,Furniture hardware,Furniture Hardware,,,,,,,,,,,,,,,19th century,1800,1900,Brass,Dimensions unavailable,Museum Accession,,,,,,,,,,,,Metal,,http://www.metmuseum.org/art/collection/search/279,,"Metropolitan Museum of Art, New York, NY",
68.111.1,FALSE,TRUE,280,The American Wing,Astral lamp,Astral Lamp,American,,,,,Maker,,Archer and Warner,"American, Philadelphia, Pennsylvania",,Archer and Warner ,American,,,ca. 1855,1852,1855,"Brass, glass",21 1/2 x 9 3/4 in. (54.6 x 24.8 cm),"Purchase, Anonymous Gift, 1968",Made in,Philadelphia,,,United States,,,,,,,Metal,,http://www.metmuseum.org/art/collection/search/280,2019-07-31T03:00:40.447Z,"Metropolitan Museum of Art, New York, NY",
68.111.2,FALSE,FALSE,281,The American Wing,Astral lamp,Astral Lamp,American,,,,,Maker,Possibly,Henry N. Hooper,,,"Hooper, Henry N.",,,9999,ca. 1860,1857,1860,"Bronze, glass",H. 26 1/4 in. (66.7 cm); Diam. 9 1/2 in. (24.1 cm),"Purchase, Anonymous Gift, 1968",Probably made in,Boston,,,United States,,,,,,,Metal,,http://www.metmuseum.org/art/collection/search/281,2019-07-31T03:00:40.447Z,"Metropolitan Museum of Art, New York, NY",
25.173a–o,TRUE,FALSE,282,The American Wing,Window,Autumn Landscape,American,,,,,Maker|Designer,Attributed to,Tiffany Studios|Agnes F. Northrop,"1902–32|American, Flushing, New York 1857–1953 New York, New York",,"Tiffany Studios |Northrop, Agnes F.",,1902      |1857      ,1932      |1953      ,1923–24,1923,1924,Leaded Favrile glass,132 x 102 in. (335.3 x 259.1 cm),"Gift of Robert W. de Forest, 1925",Made in,New York,,,United States,,,,,,,Glass,,http://www.metmuseum.org/art/collection/search/282,2019-02-01T10:50:49.477Z,"Metropolitan Museum of Art, New York, NY",Windows|Waterfalls|Landscapes|Autumn
1982.287a–c,FALSE,TRUE,283,The American Wing,Aviary,Aviary,American,,,,,,,,,,,,,,ca. 1850–60,1847,1860,"Wool, twigs, moss, brass, glass",H. 29 1/2 in. (74.9 cm); Diam. 16 3/4 in. (42.5 cm),"Friends of the American Wing Fund, 1982",Made in,,,,United States,,,,,,,Natural Substances,,http://www.metmuseum.org/art/collection/search/283,2019-02-01T10:50:49.477Z,"Metropolitan Museum of Art, New York, NY",Birds|Plants
47.90.159,FALSE,TRUE,284,The American Wing,Figure,Figure of a Baby in a Cradle Holding a Kitten,American,,,,,,,,,,,,,,1830–70,1830,1870,Parian porcelain,4 3/8 x 6 1/2 x 3 1/8 in. (11.1 x 16.5 x 7.9 cm),"Gift of Dr. Charles W. Green, 1947",Probably made in,Bennington,,,United States,,,,,,,Ceramics,,http://www.metmuseum.org/art/collection/search/284,2019-07-31T03:00:40.447Z,"Metropolitan Museum of Art, New York, NY",Infants|Cats|Cradles
"43.162.7a, b",FALSE,TRUE,285,The American Wing,Baby's bottle,Baby's Bottle,American,,,,,Maker,,Thomas Danforth Boardman,1784–1873,,"Boardman, Thomas Danforth",,1784,1873,1810–50,1810,1850,Pewter,H. 6 1/2 in. (16.5 cm),"Gift of Joseph France, 1943",Made in,Hartford,,,United States,,,,,,,Metal,,http://www.metmuseum.org/art/collection/search/285,2019-07-31T03:00:40.447Z,"Metropolitan Museum of Art, New York, NY",
Inst.68.8.41,FALSE,TRUE,287,The American Wing,Furniture hardware,Furniture Hardware,,,,,,Retailer,,Henry Kellam Hancock,1816–1851,,"Hancock, Henry Kellam",,1816,1851,1820–30,1820,1830,Gilt brass,Diam. 2 1/2 in. (6.4 cm),"Gift of Mrs. Edward Hunting Smith, 1968",Possibly made in|Possibly made in,,,,England|France,,,,,,,Metal,,http://www.metmuseum.org/art/collection/search/287,2019-07-26T03:00:41.71Z,"Metropolitan Museum of Art, New York, NY",
Inst.68.8.42,FALSE,TRUE,288,The American Wing,Furniture hardware,Furniture Hardware,,,,,,Retailer,,Henry Kellam Hancock,1816–1851,,"Hancock, Henry Kellam",,1816,1851,1820–30,1820,1830,Gilt brass,Diam. 2 in. (5.1 cm),"Gift of Mrs. Edward Hunting Smith, 1968",Possibly made in|Possibly made in,,,,England|France,,,,,,,Metal,,http://www.metmuseum.org/art/collection/search/288,2019-07-26T03:00:41.71Z,"Metropolitan Museum of Art, New York, NY",
Inst.68.8.43,FALSE,TRUE,289,The American Wing,Furniture hardware,Furniture Hardware,,,,,,Retailer,,Henry Kellam Hancock,1816–1851,,"Hancock, Henry Kellam",,1816,1851,1820–30,1820,1830,Gilt brass,Diam. 2 1/8 in. (5.4 cm),"Gift of Mrs. Edward Hunting Smith, 1968",Possibly made in|Possibly made in,,,,England|France,,,,,,,Metal,,http://www.metmuseum.org/art/collection/search/289,2019-07-26T03:00:41.71Z,"Metropolitan Museum of Art, New York, NY",
Inst.68.8.44,FALSE,TRUE,290,The American Wing,Furniture hardware,Furniture Hardware,,,,,,Retailer,,Henry Kellam Hancock,1816–1851,,"Hancock, Henry Kellam",,1816,1851,1820–30,1820,1830,Gilt brass,Diam. 1 3/4 in. (4.4 cm),"Gift of Mrs. Edward Hunting Smith, 1968",Possibly made in|Possibly made in,,,,England|France,,,,,,,Metal,,http://www.metmuseum.org/art/collection/search/290,2019-07-26T03:00:41.71Z,"Metropolitan Museum of Art, New York, NY",
Inst.68.8.45,FALSE,TRUE,291,The American Wing,Furniture hardware,Furniture Hardware,,,,,,Retailer,,Henry Kellam Hancock,1816–1851,,"Hancock, Henry Kellam",,1816,1851,1820–30,1820,1830,Gilt brass,Diam. 1 5/8 in. (4.1 cm),"Gift of Mrs. Edward Hunting Smith, 1968",Possibly made in|Possibly made in,,,,England|France,,,,,,,Metal,,http://www.metmuseum.org/art/collection/search/291,2019-07-26T03:00:41.71Z,"Metropolitan Museum of Art, New York, NY",
Inst.68.8.46,FALSE,TRUE,292,The American Wing,Furniture hardware,Furniture Hardware,,,,,,Retailer,,Henry Kellam Hancock,1816–1851,,"Hancock, Henry Kellam",,1816,1851,1820–30,1820,1830,Gilt brass,Diam. 1 5/16 in. (3.3 cm),"Gift of Mrs. Edward Hunting Smith, 1968",Possibly made in|Possibly made in,,,,England|France,,,,,,,Metal,,http://www.metmuseum.org/art/collection/search/292,2019-07-26T03:00:41.71Z,"Metropolitan Museum of Art, New York, NY",
Inst.68.8.53,FALSE,TRUE,293,The American Wing,Furniture hardware,Furniture Hardware,,,,,,Retailer,,Henry Kellam Hancock,1816–1851,,"Hancock, Henry Kellam",,1816,1851,1820–30,1820,1830,Gilt brass,Diam. 1 1/8 in. (2.9 cm),"Gift of Mrs. Edward Hunting Smith, 1968",Possibly made in|Possibly made in,,,,England|France,,,,,,,Metal,,http://www.metmuseum.org/art/collection/search/293,2019-07-26T03:00:41.71Z,"Metropolitan Museum of Art, New York, NY",
Inst.68.8.54,FALSE,FALSE,294,The American Wing,Furniture hardware,Furniture Hardware,,,,,,Retailer,,Henry Kellam Hancock,1816–1851,,"Hancock, Henry Kellam",,1816,1851,1820–30,1820,1830,Gilt brass,Diam. 1 1/8 in. (2.9 cm),"Gift of Mrs. Edward Hunting Smith, 1968",Possibly made in|Possibly made in,,,,England|France,,,,,,,Metal,,http://www.metmuseum.org/art/collection/search/294,,"Metropolitan Museum of Art, New York, NY",
"Inst.68.8.31a, b",FALSE,TRUE,295,The American Wing,Furniture hardware,Furniture Hardware,,,,,,Retailer,,Henry Kellam Hancock,1816–1851,,"Hancock, Henry Kellam",,1816,1851,1820–30,1820,1830,Gilt brass,"Backplate: 4 7/8 x 4 1/4 in. (12.4 x 10.8 cm)
Ring pull: Diam. 3 1/4 in. (8.3 cm)","Gift of Mrs. Edward Hunting Smith, 1968",Possibly made in|Possibly made in,,,,England|France,,,,,,,Metal,,http://www.metmuseum.org/art/collection/search/295,2019-07-26T03:00:41.71Z,"Metropolitan Museum of Art, New York, NY",
"Inst.68.8.32a, b",FALSE,TRUE,296,The American Wing,Furniture hardware,Furniture Hardware,,,,,,Retailer,,Henry Kellam Hancock,1816–1851,,"Hancock, Henry Kellam",,1816,1851,1820–30,1820,1830,Gilt brass,"Backplate: Diam. 2 3/4 in. (7 cm)
Ring pull: Diam. 2 1/4 in. (5.7 cm)","Gift of Mrs. Edward Hunting Smith, 1968",Possibly made in|Possibly made in,,,,England|France,,,,,,,Metal,,http://www.metmuseum.org/art/collection/search/296,2019-07-26T03:00:41.71Z,"Metropolitan Museum of Art, New York, NY",
"Inst.68.8.33a, b",FALSE,TRUE,297,The American Wing,Furniture hardware,Furniture Hardware,,,,,,Retailer,,Henry Kellam Hancock,1816–1851,,"Hancock, Henry Kellam",,1816,1851,1820–30,1820,1830,Gilt brass,"Backplate: Diam. 2 7/8 in. (7.3 cm)
Ring pull: Diam. 1 7/8 in. (4.8 cm)","Gift of Mrs. Edward Hunting Smith, 1968",Possibly made in|Possibly made in,,,,England|France,,,,,,,Metal,,http://www.metmuseum.org/art/collection/search/297,2019-07-26T03:00:41.71Z,"Metropolitan Museum of Art, New York, NY",
"35.46a, b",FALSE,TRUE,298,The American Wing,Badge,Badge of the Cincinnati Medal,,,,,,Designer,Designed by,Pierre Charles L'Enfant,1754–1825,,"L'Enfant, Pierre Charles",,1754,1825,ca. 1783,1780,1783,Gold,L. 2 in. (5.1 cm),"Rogers Fund, 1935",Made in,Paris,,,France,,,,,,,Jewelry,,http://www.metmuseum.org/art/collection/search/298,2019-07-31T03:00:40.447Z,"Metropolitan Museum of Art, New York, NY",Eagles
34.100.222,FALSE,TRUE,299,The American Wing,Baking dish,Baking Dish,American,,,,,,,,,,,,,,1800–1830,1800,1830,Earthenware,H. 3 3/4 in. (9.5 cm); Diam. 12 1/4 in. (31.1 cm),"Gift of Mrs. Robert W. de Forest, 1933",Made in,,,,United States,,,,,,,Ceramics,,http://www.metmuseum.org/art/collection/search/299,2019-07-26T03:00:41.71Z,"Metropolitan Museum of Art, New York, NY",
17.201,FALSE,TRUE,300,The American Wing,Balcony,Balcony,American,,,,,,,,,,,,,,1800–1830,1800,1830,Wrought iron,44 1/2 x 242 in. (113 x 614.7 cm),"Rogers Fund, 1917",Made in,Petersburg,,,United States,,,,,,,Architecture,,http://www.metmuseum.org/art/collection/search/300,2019-02-01T10:50:49.477Z,"Metropolitan Museum of Art, New York, NY",Balconies
30.120.276,FALSE,FALSE,301,The American Wing,Ball,Ball,American,,,,,,,,,,,,,,1800–1850,1800,1850,Free-blown amethyst glass,Diam. 8 in. (20.3 cm),"The Sylmaris Collection, Gift of George Coe Graves, 1930",Made in,,,,United States,,,,,,,Glass,,http://www.metmuseum.org/art/collection/search/301,,"Metropolitan Museum of Art, New York, NY",
30.120.275,FALSE,FALSE,303,The American Wing,Ball,Ball,American,,,,,,,,,,,,,,1800–1850,1800,1850,Free-blown amethyst glass,Diam. 7 1/2 in. (19.1 cm),"The Sylmaris Collection, Gift of George Coe Graves, 1930",Made in,,,,United States,,,,,,,Glass,,http://www.metmuseum.org/art/collection/search/303,,"Metropolitan Museum of Art, New York, NY",
17.116.2,FALSE,FALSE,304,The American Wing,Wall panel,"Panel from the Ballroom at Gadsby's Tavern, Alexandria, Virginia",American,,,,,,,,,,,,,,1792–93,1792,1793,Wood,13 ft. 9 in. x 24 ft. 2 1/2 in. x 50 ft. 9 1/2 in.,"Rogers Fund, 1917",Made in,Alexandria,,,United States,,,,,,,Architecture,,http://www.metmuseum.org/art/collection/search/304,,"Metropolitan Museum of Art, New York, NY",
1973.211.1,FALSE,FALSE,305,The American Wing,Baluster,"Baluster from the Carson, Pirie, Scott Company, Chicago",American,,,,,Maker,,Louis Henry Sullivan,"American, Boston, Massachusetts 1856–1924 Chicago, Illinois",,"Sullivan, Louis Henry",American,1856,1924,ca. 1899–1904,1896,1904,Cast iron,39 x 9 7/8 x 1 in. (99.1 x 25.1 x 2.5 cm),"Gift of the Art Institute of Chicago, 1973",Made in,Chicago,,,United States,,,,,,,Architecture,,http://www.metmuseum.org/art/collection/search/305,,"Metropolitan Museum of Art, New York, NY",
1973.211.2,FALSE,FALSE,306,The American Wing,Baluster,"Baluster from the Carson, Pirie, Scott Company, Chicago",American,,,,,Maker,,Louis Henry Sullivan,"American, Boston, Massachusetts 1856–1924 Chicago, Illinois",,"Sullivan, Louis Henry",American,1856,1924,1899–1904,1899,1904,Cast iron,39 x 9 7/8 x 1 in. (99.1 x 25.1 x 2.5 cm),"Gift of the Art Institute of Chicago, 1973",Made in,Chicago,,,United States,,,,,,,Architecture,,http://www.metmuseum.org/art/collection/search/306,,"Metropolitan Museum of Art, New York, NY",
1973.211.3,FALSE,FALSE,307,The American Wing,Baluster,"Baluster from the Carson, Pirie, Scott Company, Chicago",American,,,,,Maker,,Louis Henry Sullivan,"American, Boston, Massachusetts 1856–1924 Chicago, Illinois",,"Sullivan, Louis Henry",American,1856,1924,1899–1904,1899,1904,Cast iron,40 x 9 7/8 x 2 1/8 in. (101.6 x 25.1 x 5.4 cm),"Gift of the Art Institute of Chicago, 1973",Made in,Chicago,,,United States,,,,,,,Metal,,http://www.metmuseum.org/art/collection/search/307,,"Metropolitan Museum of Art, New York, NY",
1973.211.4,FALSE,FALSE,308,The American Wing,Baluster,"Baluster from the Carson, Pirie, Scott Company, Chicago",American,,,,,Manufacturer|Maker,Fabricated by,Winslow Brothers Company|Louis Henry Sullivan,"American, Chicago, Illinois|American, Boston, Massachusetts 1856–1924 Chicago, Illinois",,"Winslow Brothers Company|Sullivan, Louis Henry",American|American,1856,1924,1899–1904,1899,1904,Cast iron,39 x 9 7/8 x 1 in. (99.1 x 25.1 x 2.5 cm),"Gift of the Art Institute of Chicago, 1973",Made in,Chicago,,,United States,,,,,,,Architecture,,http://www.metmuseum.org/art/collection/search/308,2019-07-31T03:00:40.447Z,"Metropolitan Museum of Art, New York, NY",
1972.50.5,FALSE,FALSE,309,The American Wing,Baluster,"Baluster from the Chicago Stock Exchange Building, Chicago",American,,,,,Maker|Maker,,Louis Henry Sullivan|Dankmar Adler,"American, Boston, Massachusetts 1856–1924 Chicago, Illinois|American, 1844–1900",,"Sullivan, Louis Henry|Adler, Dankmar",American|American,1856      |1844      ,1924      |1900      ,1893,1893,1893,Copper-plated cast iron,10 7/8 x 31 3/4 in. (27.6 x 80.6 cm),"Purchase, Emily Crane Chadbourne Bequest and Mr. and Mrs. James Biddle Gift, by exchange, 1972",Made in,Chicago,,,United States,,,,,,,Architecture,,http://www.metmuseum.org/art/collection/search/309,2019-07-31T03:00:40.447Z,"Metropolitan Museum of Art, New York, NY",
1972.50.6,FALSE,FALSE,310,The American Wing,Baluster,"Baluster from the Chicago Stock Exchange Building, Chicago",American,,,,,Maker|Maker,,Louis Henry Sullivan|Dankmar Adler,"American, Boston, Massachusetts 1856–1924 Chicago, Illinois|American, 1844–1900",,"Sullivan, Louis Henry|Adler, Dankmar",American|American,1856      |1844      ,1924      |1900      ,1893,1893,1893,Copper-plated cast iron,31 3/4 x 10 7/8 x 1 1/8 in. (80.6 x 27.6 x 2.9 cm),"Purchase, Emily Crane Chadbourne Bequest and Mr. and Mrs. James Biddle Gift, by exchange, 1972",Made in,Chicago,,,United States,,,,,,,Architecture,,http://www.metmuseum.org/art/collection/search/310,2019-07-31T03:00:40.447Z,"Metropolitan Museum of Art, New York, NY",
1984.98,FALSE,FALSE,311,The American Wing,Baluster,"Baluster from the Guaranty Building, Buffalo, New York",American,,,,,Designer|Manufacturer|Maker,Designed by|Manufactured by,Louis Henry Sullivan|Yale and Towne Manufacturing Company|Dankmar Adler,"American, Boston, Massachusetts 1856–1924 Chicago, Illinois|American, 1844–1900",,"Sullivan, Louis Henry|Yale and Towne Manufacturing Company |Adler, Dankmar",American|American,1856      |1868      |1844      ,1924      |9999      |1900      ,ca. 1894–95,1891,1895,Bronze-plated cast iron,34 1/2 x 10 in. (87.6 x 25.4 cm),"Friends of the American Wing Fund, 1984",Made in,Chicago,,,United States,,,,,,,Architecture,,http://www.metmuseum.org/art/collection/search/311,2019-07-31T03:00:40.447Z,"Metropolitan Museum of Art, New York, NY",
1971.180.106,FALSE,FALSE,312,The American Wing,Vase,Baluster Vase,Chinese,,,,,,,,,,,,,,1800–1900,1800,1900,Porcelain,H. 9 7/16 in. (24 cm),"Bequest of Flora E. Whiting, 1971",Made in,,,,China,,,,,,,Ceramics,,http://www.metmuseum.org/art/collection/search/312,2019-07-26T03:00:41.71Z,"Metropolitan Museum of Art, New York, NY",Flowers
1971.180.107,FALSE,FALSE,313,The American Wing,Vase,Baluster Vase,Chinese,,,,,,,,,,,,,,1800–1900,1800,1900,Porcelain,H. 9 1/4 in. (23.5 cm),"Bequest of Flora E. Whiting, 1971",Made in,,,,China,,,,,,,Ceramics,,http://www.metmuseum.org/art/collection/search/313,2019-07-26T03:00:41.71Z,"Metropolitan Museum of Art, New York, NY",Flowers
